"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Massachusetts","2021-03-15T00:00:00.000","69000","69000"
"New Hampshire","2021-03-15T00:00:00.000","13700","13700"
"Rhode Island","2021-03-15T00:00:00.000","10800","10800"
"Vermont","2021-03-15T00:00:00.000","6500","6500"
"New Jersey","2021-03-15T00:00:00.000","87400","87400"
"New York","2021-03-15T00:00:00.000","111300","111300"
"New York City","2021-03-15T00:00:00.000","84500","84500"
"Puerto Rico","2021-03-15T00:00:00.000","34200","34200"
"U.S. Virgin Islands","2021-03-15T00:00:00.000","1100","1100"
"Delaware","2021-03-15T00:00:00.000","9500","9500"
"District of Columbia","2021-03-15T00:00:00.000","7200","7200"
"Maryland","2021-03-15T00:00:00.000","59000","59000"
"Pennsylvania","2021-03-15T00:00:00.000","112400","112400"
"Philadelphia","2021-03-15T00:00:00.000","15600","15600"
"Virginia","2021-03-15T00:00:00.000","82800","82800"
"West Virginia","2021-03-15T00:00:00.000","18500","18500"
"Alabama","2021-03-15T00:00:00.000","47700","47700"
"Florida","2021-03-15T00:00:00.000","208000","208000"
"Georgia","2021-03-15T00:00:00.000","98600","98600"
"Kentucky","2021-03-15T00:00:00.000","43400","43400"
"Mississippi","2021-03-15T00:00:00.000","28700","28700"
"North Carolina","2021-03-15T00:00:00.000","99500","99500"
"South Carolina","2021-03-15T00:00:00.000","48800","48800"
"Tennessee","2021-03-15T00:00:00.000","65200","65200"
"Chicago","2021-03-15T00:00:00.000","26500","26500"
"Illinois","2021-03-15T00:00:00.000","98700","98700"
"Indiana","2021-03-15T00:00:00.000","64100","64100"
"Michigan","2021-03-15T00:00:00.000","98200","98200"
"Minnesota","2021-03-15T00:00:00.000","53800","53800"
"Ohio","2021-03-15T00:00:00.000","114100","114100"
"Wisconsin","2021-03-15T00:00:00.000","57100","57100"
"Arkansas","2021-03-15T00:00:00.000","28900","28900"
"Louisiana","2021-03-15T00:00:00.000","45000","45000"
"New Mexico","2021-03-15T00:00:00.000","20500","20500"
"Oklahoma","2021-03-15T00:00:00.000","37500","37500"
