"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Puerto Rico","2021-04-05T00:00:00.000","35700","35700"
"U.S. Virgin Islands","2021-04-05T00:00:00.000","1100","1100"
"Delaware","2021-04-05T00:00:00.000","9900","9900"
"District of Columbia","2021-04-05T00:00:00.000","7500","7500"
"Maryland","2021-04-05T00:00:00.000","61600","61600"
"Pennsylvania","2021-04-05T00:00:00.000","117500","117500"
"Philadelphia","2021-04-05T00:00:00.000","16300","16300"
"Virginia","2021-04-05T00:00:00.000","86500","86500"
"West Virginia","2021-04-05T00:00:00.000","19300","19300"
"Alabama","2021-04-05T00:00:00.000","49800","49800"
"Florida","2021-04-05T00:00:00.000","217400","217400"
"Georgia","2021-04-05T00:00:00.000","103000","103000"
"Kentucky","2021-04-05T00:00:00.000","45300","45300"
"Mississippi","2021-04-05T00:00:00.000","30000","30000"
"North Carolina","2021-04-05T00:00:00.000","103900","103900"
"South Carolina","2021-04-05T00:00:00.000","51000","51000"
"Tennessee","2021-04-05T00:00:00.000","68100","68100"
"Chicago","2021-04-05T00:00:00.000","27700","27700"
"Illinois","2021-04-05T00:00:00.000","103100","103100"
"Indiana","2021-04-05T00:00:00.000","66900","66900"
"Michigan","2021-04-05T00:00:00.000","102600","102600"
"Minnesota","2021-04-05T00:00:00.000","56200","56200"
"Ohio","2021-04-05T00:00:00.000","119300","119300"
"Wisconsin","2021-04-05T00:00:00.000","59700","59700"
"Arkansas","2021-04-05T00:00:00.000","30200","30200"
"Louisiana","2021-04-05T00:00:00.000","47000","47000"
"New Mexico","2021-04-05T00:00:00.000","21400","21400"
"Oklahoma","2021-04-05T00:00:00.000","39200","39200"
"Texas","2021-04-05T00:00:00.000","272100","272100"
"Iowa","2021-04-05T00:00:00.000","31800","31800"
"Kansas","2021-04-05T00:00:00.000","29000","29000"
"Missouri","2021-04-05T00:00:00.000","62200","62200"
"Nebraska","2021-04-05T00:00:00.000","19200","19200"
"Colorado","2021-04-05T00:00:00.000","56500","56500"
"Montana","2021-04-05T00:00:00.000","10800","10800"
"North Dakota","2021-04-05T00:00:00.000","7800","7800"
"South Dakota","2021-04-05T00:00:00.000","8700","8700"
"Utah","2021-04-05T00:00:00.000","28300","28300"
"Wyoming","2021-04-05T00:00:00.000","5900","5900"
"Arizona","2021-04-05T00:00:00.000","70600","70600"
"California","2021-04-05T00:00:00.000","397400","397400"
"Hawaii","2021-04-05T00:00:00.000","14800","14800"
"Nevada","2021-04-05T00:00:00.000","29800","29800"
"American Samoa","2021-04-05T00:00:00.000","0","0"
"Guam","2021-04-05T00:00:00.000","0","0"
"Marshall Islands","2021-04-05T00:00:00.000","0","0"
"Micronesia","2021-04-05T00:00:00.000","0","0"
"Mariana Islands","2021-04-05T00:00:00.000","0","0"
"Palau","2021-04-05T00:00:00.000","0","0"
"Alaska","2021-04-05T00:00:00.000","0","0"
"Idaho","2021-04-05T00:00:00.000","16600","16600"
"Oregon","2021-04-05T00:00:00.000","42700","42700"
"Washington","2021-04-05T00:00:00.000","75700","75700"
"Federal Entities","2021-04-05T00:00:00.000","143000","143000"
"Connecticut","2021-03-29T00:00:00.000","35800","35800"
"Maine","2021-03-29T00:00:00.000","13700","13700"
"Massachusetts","2021-03-29T00:00:00.000","69000","69000"
"New Hampshire","2021-03-29T00:00:00.000","13700","13700"
"Rhode Island","2021-03-29T00:00:00.000","10800","10800"
"Vermont","2021-03-29T00:00:00.000","6500","6500"
"New Jersey","2021-03-29T00:00:00.000","87400","87400"
"New York","2021-03-29T00:00:00.000","111300","111300"
"New York City","2021-03-29T00:00:00.000","84500","84500"
"Puerto Rico","2021-03-29T00:00:00.000","34200","34200"
"U.S. Virgin Islands","2021-03-29T00:00:00.000","1100","1100"
"Delaware","2021-03-29T00:00:00.000","9500","9500"
"District of Columbia","2021-03-29T00:00:00.000","7200","7200"
"Maryland","2021-03-29T00:00:00.000","59000","59000"
"Pennsylvania","2021-03-29T00:00:00.000","112400","112400"
"Philadelphia","2021-03-29T00:00:00.000","15600","15600"
"Virginia","2021-03-29T00:00:00.000","82800","82800"
"West Virginia","2021-03-29T00:00:00.000","18500","18500"
"Alabama","2021-03-29T00:00:00.000","47700","47700"
"Florida","2021-03-29T00:00:00.000","208000","208000"
"Georgia","2021-03-29T00:00:00.000","98600","98600"
"Kentucky","2021-03-29T00:00:00.000","43400","43400"
"Mississippi","2021-03-29T00:00:00.000","28700","28700"
"North Carolina","2021-03-29T00:00:00.000","99500","99500"
"South Carolina","2021-03-29T00:00:00.000","48800","48800"
"Tennessee","2021-03-29T00:00:00.000","65200","65200"
"Chicago","2021-03-29T00:00:00.000","26500","26500"
"Illinois","2021-03-29T00:00:00.000","98700","98700"
"Indiana","2021-03-29T00:00:00.000","64100","64100"
"Michigan","2021-03-29T00:00:00.000","98200","98200"
"Minnesota","2021-03-29T00:00:00.000","53800","53800"
"Ohio","2021-03-29T00:00:00.000","114100","114100"
"Wisconsin","2021-03-29T00:00:00.000","57100","57100"
"Arkansas","2021-03-29T00:00:00.000","28900","28900"
"Louisiana","2021-03-29T00:00:00.000","45000","45000"
"New Mexico","2021-03-29T00:00:00.000","20500","20500"
"Oklahoma","2021-03-29T00:00:00.000","37500","37500"
"Texas","2021-03-29T00:00:00.000","260400","260400"
"Iowa","2021-03-29T00:00:00.000","30400","30400"
"Kansas","2021-03-29T00:00:00.000","27800","27800"
"Missouri","2021-03-29T00:00:00.000","59500","59500"
"Nebraska","2021-03-29T00:00:00.000","18400","18400"
"Colorado","2021-03-29T00:00:00.000","54100","54100"
"Montana","2021-03-29T00:00:00.000","10400","10400"
"North Dakota","2021-03-29T00:00:00.000","7500","7500"
"South Dakota","2021-03-29T00:00:00.000","8300","8300"
"Utah","2021-03-29T00:00:00.000","27100","27100"
"Wyoming","2021-03-29T00:00:00.000","5700","5700"
"Arizona","2021-03-29T00:00:00.000","67600","67600"
"California","2021-03-29T00:00:00.000","380300","380300"
"Hawaii","2021-03-29T00:00:00.000","14200","14200"
"Nevada","2021-03-29T00:00:00.000","28500","28500"
"American Samoa","2021-03-29T00:00:00.000","5000","0"
"Guam","2021-03-29T00:00:00.000","15000","0"
"Marshall Islands","2021-03-29T00:00:00.000","16800","0"
"Micronesia","2021-03-29T00:00:00.000","22600","0"
"Mariana Islands","2021-03-29T00:00:00.000","5000","0"
"Palau","2021-03-29T00:00:00.000","6200","0"
"Alaska","2021-03-29T00:00:00.000","52500","52500"
"Idaho","2021-03-29T00:00:00.000","15800","15800"
"Oregon","2021-03-29T00:00:00.000","40800","40800"
"Washington","2021-03-29T00:00:00.000","72400","72400"
"Federal Entities","2021-03-29T00:00:00.000","143000","143000"
"Connecticut","2021-03-22T00:00:00.000","35800","35800"
"Maine","2021-03-22T00:00:00.000","13700","13700"
"Massachusetts","2021-03-22T00:00:00.000","69000","69000"
"New Hampshire","2021-03-22T00:00:00.000","13700","13700"
"Rhode Island","2021-03-22T00:00:00.000","10800","10800"
"Vermont","2021-03-22T00:00:00.000","6500","6500"
"New Jersey","2021-03-22T00:00:00.000","87400","87400"
"New York","2021-03-22T00:00:00.000","111300","111300"
"New York City","2021-03-22T00:00:00.000","84500","84500"
"Puerto Rico","2021-03-22T00:00:00.000","34200","34200"
"U.S. Virgin Islands","2021-03-22T00:00:00.000","1100","1100"
"Delaware","2021-03-22T00:00:00.000","9500","9500"
"District of Columbia","2021-03-22T00:00:00.000","7200","7200"
"Maryland","2021-03-22T00:00:00.000","59000","59000"
"Pennsylvania","2021-03-22T00:00:00.000","112400","112400"
"Philadelphia","2021-03-22T00:00:00.000","15600","15600"
"Virginia","2021-03-22T00:00:00.000","82800","82800"
"West Virginia","2021-03-22T00:00:00.000","18500","18500"
"Alabama","2021-03-22T00:00:00.000","47700","47700"
"Florida","2021-03-22T00:00:00.000","208000","208000"
"Georgia","2021-03-22T00:00:00.000","98600","98600"
"Kentucky","2021-03-22T00:00:00.000","43400","43400"
"Mississippi","2021-03-22T00:00:00.000","28700","28700"
"North Carolina","2021-03-22T00:00:00.000","99500","99500"
"South Carolina","2021-03-22T00:00:00.000","48800","48800"
"Tennessee","2021-03-22T00:00:00.000","65200","65200"
"Chicago","2021-03-22T00:00:00.000","26500","26500"
"Illinois","2021-03-22T00:00:00.000","98700","98700"
"Indiana","2021-03-22T00:00:00.000","64100","64100"
"Michigan","2021-03-22T00:00:00.000","98200","98200"
