"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"New York City","2021-02-08T00:00:00.000","53625","53625"
"Puerto Rico","2021-02-08T00:00:00.000","22425","22425"
"U.S. Virgin Islands","2021-02-08T00:00:00.000","975","975"
"Delaware","2021-02-08T00:00:00.000","6825","6825"
"District of Columbia","2021-02-08T00:00:00.000","4875","4875"
"Maryland","2021-02-08T00:00:00.000","38025","38025"
"Pennsylvania","2021-02-08T00:00:00.000","71175","71175"
"Philadelphia","2021-02-08T00:00:00.000","10725","10725"
"Virginia","2021-02-08T00:00:00.000","52650","52650"
"West Virginia","2021-02-08T00:00:00.000","11700","11700"
"Alabama","2021-02-08T00:00:00.000","30225","30225"
"Florida","2021-02-08T00:00:00.000","132600","132600"
"Georgia","2021-02-08T00:00:00.000","63375","63375"
"Kentucky","2021-02-08T00:00:00.000","28275","28275"
"Mississippi","2021-02-08T00:00:00.000","18525","18525"
"North Carolina","2021-02-08T00:00:00.000","63375","63375"
"South Carolina","2021-02-08T00:00:00.000","31200","31200"
"Tennessee","2021-02-08T00:00:00.000","41925","41925"
"Chicago","2021-02-08T00:00:00.000","17550","17550"
"Illinois","2021-02-08T00:00:00.000","63375","63375"
"Indiana","2021-02-08T00:00:00.000","40950","40950"
"Michigan","2021-02-08T00:00:00.000","62400","62400"
"Minnesota***","2021-02-08T00:00:00.000","34125","34125"
"Ohio","2021-02-08T00:00:00.000","73125","73125"
"Wisconsin***","2021-02-08T00:00:00.000","37050","37050"
"Arkansas","2021-02-08T00:00:00.000","18525","18525"
"Louisiana","2021-02-08T00:00:00.000","29250","29250"
"New Mexico***","2021-02-08T00:00:00.000","13650","13650"
"Oklahoma","2021-02-08T00:00:00.000","24375","24375"
"Texas","2021-02-08T00:00:00.000","165750","165750"
"Iowa","2021-02-08T00:00:00.000","19500","19500"
"Kansas","2021-02-08T00:00:00.000","18525","18525"
"Missouri","2021-02-08T00:00:00.000","38025","38025"
"Nebraska***","2021-02-08T00:00:00.000","11700","11700"
"Colorado","2021-02-08T00:00:00.000","35100","35100"
"Montana","2021-02-08T00:00:00.000","6825","6825"
"North Dakota***","2021-02-08T00:00:00.000","4875","4875"
"South Dakota","2021-02-08T00:00:00.000","5850","5850"
"Utah***","2021-02-08T00:00:00.000","17550","17550"
"Wyoming","2021-02-08T00:00:00.000","3900","3900"
"Arizona***","2021-02-08T00:00:00.000","42900","42900"
"California","2021-02-08T00:00:00.000","241800","241800"
"Hawaii","2021-02-08T00:00:00.000","9750","9750"
"Nevada","2021-02-08T00:00:00.000","18525","18525"
"American Samoa**","2021-02-08T00:00:00.000","0","0"
"Guam**","2021-02-08T00:00:00.000","0","0"
"Marshall Islands*","2021-02-08T00:00:00.000","0","0"
"Micronesia*","2021-02-08T00:00:00.000","0","0"
"Mariana Islands**","2021-02-08T00:00:00.000","0","0"
"Palau*","2021-02-08T00:00:00.000","0","0"
"Alaska***","2021-02-08T00:00:00.000","0","0"
"Idaho","2021-02-08T00:00:00.000","10725","10725"
"Oregon***","2021-02-08T00:00:00.000","26325","26325"
"Washington***","2021-02-08T00:00:00.000","46800","46800"
"Federal Entities ****","2021-02-08T00:00:00.000","105300","105300"
"Connecticut","2021-02-01T00:00:00.000","23400","23400"
"Maine","2021-02-01T00:00:00.000","8775","8775"
"Massachusetts","2021-02-01T00:00:00.000","43875","43875"
"New Hampshire","2021-02-01T00:00:00.000","8775","8775"
"Rhode Island","2021-02-01T00:00:00.000","6825","6825"
"Vermont","2021-02-01T00:00:00.000","4875","4875"
"New Jersey","2021-02-01T00:00:00.000","55575","55575"
"New York","2021-02-01T00:00:00.000","70200","70200"
"New York City","2021-02-01T00:00:00.000","53625","53625"
"Puerto Rico","2021-02-01T00:00:00.000","22425","22425"
"U.S. Virgin Islands","2021-02-01T00:00:00.000","975","975"
"Delaware","2021-02-01T00:00:00.000","6825","6825"
"District of Columbia","2021-02-01T00:00:00.000","4875","4875"
"Maryland","2021-02-01T00:00:00.000","38025","38025"
"Pennsylvania","2021-02-01T00:00:00.000","71175","71175"
"Philadelphia","2021-02-01T00:00:00.000","10725","10725"
"Virginia","2021-02-01T00:00:00.000","52650","52650"
"West Virginia","2021-02-01T00:00:00.000","11700","11700"
"Alabama","2021-02-01T00:00:00.000","30225","30225"
"Florida","2021-02-01T00:00:00.000","131625","131625"
"Georgia","2021-02-01T00:00:00.000","62400","62400"
"Kentucky","2021-02-01T00:00:00.000","28275","28275"
"Mississippi","2021-02-01T00:00:00.000","18525","18525"
"North Carolina","2021-02-01T00:00:00.000","63375","63375"
"South Carolina","2021-02-01T00:00:00.000","31200","31200"
"Tennessee","2021-02-01T00:00:00.000","41925","41925"
"Chicago","2021-02-01T00:00:00.000","17550","17550"
"Illinois","2021-02-01T00:00:00.000","62400","62400"
"Indiana","2021-02-01T00:00:00.000","40950","40950"
"Michigan","2021-02-01T00:00:00.000","62400","62400"
"Minnesota***","2021-02-01T00:00:00.000","34125","34125"
"Ohio","2021-02-01T00:00:00.000","72150","72150"
"Wisconsin***","2021-02-01T00:00:00.000","36075","36075"
"Arkansas","2021-02-01T00:00:00.000","18525","18525"
"Louisiana","2021-02-01T00:00:00.000","29250","29250"
"New Mexico***","2021-02-01T00:00:00.000","13650","13650"
"Oklahoma","2021-02-01T00:00:00.000","24375","24375"
"Texas","2021-02-01T00:00:00.000","164775","164775"
"Iowa","2021-02-01T00:00:00.000","19500","19500"
"Kansas","2021-02-01T00:00:00.000","17550","17550"
"Missouri","2021-02-01T00:00:00.000","38025","38025"
"Nebraska***","2021-02-01T00:00:00.000","11700","11700"
"Colorado","2021-02-01T00:00:00.000","34125","34125"
"Montana","2021-02-01T00:00:00.000","6825","6825"
"North Dakota***","2021-02-01T00:00:00.000","4875","4875"
"South Dakota","2021-02-01T00:00:00.000","5850","5850"
"Utah***","2021-02-01T00:00:00.000","17550","17550"
"Wyoming","2021-02-01T00:00:00.000","3900","3900"
"Arizona***","2021-02-01T00:00:00.000","42900","42900"
"California","2021-02-01T00:00:00.000","240825","240825"
"Hawaii","2021-02-01T00:00:00.000","9750","9750"
"Nevada","2021-02-01T00:00:00.000","18525","18525"
"American Samoa**","2021-02-01T00:00:00.000","7800","0"
"Guam**","2021-02-01T00:00:00.000","7800","0"
"Marshall Islands*","2021-02-01T00:00:00.000","0","0"
"Micronesia*","2021-02-01T00:00:00.000","0","0"
"Mariana Islands**","2021-02-01T00:00:00.000","7800","0"
"Palau*","2021-02-01T00:00:00.000","0","0"
"Alaska***","2021-02-01T00:00:00.000","27300","27300"
"Idaho","2021-02-01T00:00:00.000","10725","10725"
"Oregon***","2021-02-01T00:00:00.000","26325","26325"
"Washington***","2021-02-01T00:00:00.000","45825","45825"
"Federal Entities ****","2021-02-01T00:00:00.000","119925","104325"
"Connecticut","2021-01-25T00:00:00.000","23400","23400"
"Maine","2021-01-25T00:00:00.000","8775","8775"
"Massachusetts","2021-01-25T00:00:00.000","43875","43875"
"New Hampshire","2021-01-25T00:00:00.000","8775","8775"
"Rhode Island","2021-01-25T00:00:00.000","6825","6825"
"Vermont","2021-01-25T00:00:00.000","4875","4875"
"New Jersey","2021-01-25T00:00:00.000","55575","55575"
"New York","2021-01-25T00:00:00.000","71175","71175"
"New York City","2021-01-25T00:00:00.000","53625","53625"
"Puerto Rico","2021-01-25T00:00:00.000","22425","22425"
"U.S. Virgin Islands","2021-01-25T00:00:00.000","975","975"
"Delaware","2021-01-25T00:00:00.000","6825","6825"
"District of Columbia","2021-01-25T00:00:00.000","4875","4875"
"Maryland","2021-01-25T00:00:00.000","38025","38025"
"Pennsylvania","2021-01-25T00:00:00.000","71175","71175"
"Philadelphia","2021-01-25T00:00:00.000","10725","10725"
"Virginia","2021-01-25T00:00:00.000","52650","52650"
"West Virginia","2021-01-25T00:00:00.000","11700","11700"
"Alabama","2021-01-25T00:00:00.000","30225","30225"
"Florida","2021-01-25T00:00:00.000","132600","132600"
"Georgia","2021-01-25T00:00:00.000","63375","63375"
"Kentucky","2021-01-25T00:00:00.000","28275","28275"
"Mississippi","2021-01-25T00:00:00.000","18525","18525"
"North Carolina","2021-01-25T00:00:00.000","63375","63375"
"South Carolina","2021-01-25T00:00:00.000","31200","31200"
"Tennessee","2021-01-25T00:00:00.000","41925","41925"
"Chicago","2021-01-25T00:00:00.000","17550","17550"
"Illinois","2021-01-25T00:00:00.000","63375","63375"
"Indiana","2021-01-25T00:00:00.000","40950","40950"
"Michigan","2021-01-25T00:00:00.000","62400","62400"
"Minnesota***","2021-01-25T00:00:00.000","34125","34125"
"Ohio","2021-01-25T00:00:00.000","73125","73125"
"Wisconsin***","2021-01-25T00:00:00.000","37050","37050"
"Arkansas","2021-01-25T00:00:00.000","18525","18525"
"Louisiana","2021-01-25T00:00:00.000","29250","29250"
"New Mexico***","2021-01-25T00:00:00.000","13650","13650"
"Oklahoma","2021-01-25T00:00:00.000","24375","24375"
"Texas","2021-01-25T00:00:00.000","165750","165750"
"Iowa","2021-01-25T00:00:00.000","19500","19500"
"Kansas","2021-01-25T00:00:00.000","18525","18525"
"Missouri","2021-01-25T00:00:00.000","38025","38025"
"Nebraska***","2021-01-25T00:00:00.000","11700","11700"
"Colorado","2021-01-25T00:00:00.000","35100","35100"
"Montana","2021-01-25T00:00:00.000","6825","6825"
"North Dakota***","2021-01-25T00:00:00.000","4875","4875"
"South Dakota","2021-01-25T00:00:00.000","5850","5850"
"Utah***","2021-01-25T00:00:00.000","17550","17550"
"Wyoming","2021-01-25T00:00:00.000","3900","3900"
"Arizona***","2021-01-25T00:00:00.000","42900","42900"
"California","2021-01-25T00:00:00.000","241800","241800"
"Hawaii","2021-01-25T00:00:00.000","9750","9750"
"Nevada","2021-01-25T00:00:00.000","18525","18525"
"American Samoa**","2021-01-25T00:00:00.000","0","0"
"Guam**","2021-01-25T00:00:00.000","0","0"
"Marshall Islands*","2021-01-25T00:00:00.000","0","0"
"Micronesia*","2021-01-25T00:00:00.000","0","0"
"Mariana Islands**","2021-01-25T00:00:00.000","0","0"
"Palau*","2021-01-25T00:00:00.000","0","0"
"Alaska***","2021-01-25T00:00:00.000","0","0"
"Idaho","2021-01-25T00:00:00.000","10725","10725"
"Oregon***","2021-01-25T00:00:00.000","26325","26325"
"Washington***","2021-01-25T00:00:00.000","46800","46800"
"Federal Entities ****","2021-01-25T00:00:00.000","105300","105300"
"Connecticut","2021-01-18T00:00:00.000","23400","23400"
"Maine","2021-01-18T00:00:00.000","8775","8775"
"Massachusetts","2021-01-18T00:00:00.000","43875","43875"
"New Hampshire","2021-01-18T00:00:00.000","8775","8775"
"Rhode Island","2021-01-18T00:00:00.000","6825","6825"
"Vermont","2021-01-18T00:00:00.000","4875","4875"
"New Jersey","2021-01-18T00:00:00.000","55575","55575"
"New York","2021-01-18T00:00:00.000","71175","71175"
"New York City","2021-01-18T00:00:00.000","53625","53625"
"Puerto Rico","2021-01-18T00:00:00.000","22425","22425"
"U.S. Virgin Islands","2021-01-18T00:00:00.000","975","975"
"Delaware","2021-01-18T00:00:00.000","6825","6825"
"District of Columbia","2021-01-18T00:00:00.000","4875","4875"
"Maryland","2021-01-18T00:00:00.000","38025","38025"
"Pennsylvania","2021-01-18T00:00:00.000","71175","71175"
"Philadelphia","2021-01-18T00:00:00.000","10725","10725"
"Virginia","2021-01-18T00:00:00.000","52650","52650"
"West Virginia","2021-01-18T00:00:00.000","11700","11700"
"Alabama","2021-01-18T00:00:00.000","30225","30225"
"Florida","2021-01-18T00:00:00.000","132600","132600"
"Georgia","2021-01-18T00:00:00.000","63375","63375"
"Kentucky","2021-01-18T00:00:00.000","28275","28275"
"Mississippi","2021-01-18T00:00:00.000","18525","18525"
"North Carolina","2021-01-18T00:00:00.000","63375","63375"
"South Carolina","2021-01-18T00:00:00.000","31200","31200"
"Tennessee","2021-01-18T00:00:00.000","41925","41925"
"Chicago","2021-01-18T00:00:00.000","17550","17550"
"Illinois","2021-01-18T00:00:00.000","63375","63375"
"Indiana","2021-01-18T00:00:00.000","40950","40950"
"Michigan","2021-01-18T00:00:00.000","62400","62400"
"Minnesota***","2021-01-18T00:00:00.000","34125","34125"
"Ohio","2021-01-18T00:00:00.000","73125","73125"
"Wisconsin***","2021-01-18T00:00:00.000","37050","37050"
"Arkansas","2021-01-18T00:00:00.000","18525","18525"
"Louisiana","2021-01-18T00:00:00.000","29250","29250"
"New Mexico***","2021-01-18T00:00:00.000","13650","13650"
"Oklahoma","2021-01-18T00:00:00.000","24375","24375"
"Texas","2021-01-18T00:00:00.000","165750","165750"
"Iowa","2021-01-18T00:00:00.000","19500","19500"
"Kansas","2021-01-18T00:00:00.000","18525","18525"
"Missouri","2021-01-18T00:00:00.000","38025","38025"
"Nebraska***","2021-01-18T00:00:00.000","11700","11700"
"Colorado","2021-01-18T00:00:00.000","35100","35100"
"Montana","2021-01-18T00:00:00.000","6825","6825"
"North Dakota***","2021-01-18T00:00:00.000","4875","4875"
"South Dakota","2021-01-18T00:00:00.000","5850","5850"
"Utah***","2021-01-18T00:00:00.000","17550","17550"
"Wyoming","2021-01-18T00:00:00.000","3900","3900"
"Arizona***","2021-01-18T00:00:00.000","42900","42900"
"California","2021-01-18T00:00:00.000","241800","241800"
"Hawaii","2021-01-18T00:00:00.000","9750","9750"
"Nevada","2021-01-18T00:00:00.000","18525","18525"
"American Samoa**","2021-01-18T00:00:00.000","0","0"
"Guam**","2021-01-18T00:00:00.000","0","0"
"Marshall Islands*","2021-01-18T00:00:00.000","0","0"
"Micronesia*","2021-01-18T00:00:00.000","0","0"
"Mariana Islands**","2021-01-18T00:00:00.000","0","0"
"Palau*","2021-01-18T00:00:00.000","0","0"
"Alaska***","2021-01-18T00:00:00.000","0","0"
"Idaho","2021-01-18T00:00:00.000","10725","10725"
"Oregon***","2021-01-18T00:00:00.000","26325","26325"
"Washington***","2021-01-18T00:00:00.000","46800","46800"
"Federal Entities ****","2021-01-18T00:00:00.000","105300","105300"
"Connecticut","2021-01-11T00:00:00.000","22425","22425"
"Maine","2021-01-11T00:00:00.000","8775","8775"
"Massachusetts","2021-01-11T00:00:00.000","42900","42900"
"New Hampshire","2021-01-11T00:00:00.000","8775","8775"
"Rhode Island","2021-01-11T00:00:00.000","6825","6825"
"Vermont","2021-01-11T00:00:00.000","4875","4875"
"New Jersey","2021-01-11T00:00:00.000","53625","53625"
"New York","2021-01-11T00:00:00.000","68250","68250"
"New York City","2021-01-11T00:00:00.000","51675","51675"
"Puerto Rico","2021-01-11T00:00:00.000","21450","21450"
"U.S. Virgin Islands","2021-01-11T00:00:00.000","975","975"
"Delaware","2021-01-11T00:00:00.000","5850","5850"
"District of Columbia","2021-01-11T00:00:00.000","4875","4875"
"Maryland","2021-01-11T00:00:00.000","36075","36075"
"Pennsylvania","2021-01-11T00:00:00.000","69225","69225"
